Film Name,Period,Release Date,Subject,Genre,Publisher,Awards,Language,Yellowface,Note
Dragon Seed,WWII - 50s,1944,"Novel Adaption
Akins, Zoë, 1886-1958 -- Film and video adaptations
Barry, Philip, 1896-1949 -- Film and video adaptations
Buck, Pearl S (Pearl Sydenstricker), 1892-1973 -- Film and video adaptations
Strabel, Thelma -- Film and video adaptations
Mackenzie, Compton, 1883-1972 -- Film and video adaptations
Williams, Emlyn, 1905-1987 -- Film and video adaptations
Feature films
Fiction films
Comedy films
Made-for-TV movies
Television adaptations
Video recordings for the hearing impaired",Film and video adaptations.,,,,,
Go for Broke!,WWII - 50s,1951,"United States Army Regimental Combat Team, 442nd -- Drama
World War, 1939-1945 -- Regimental histories -- United States -- Drama
World War, 1939-1945 -- Japanese Americans -- Drama
World War, 1939-1945 -- Campaigns -- Europe -- Drama
United States Army Regimental Combat Team, 442nd
World War (1939-1945)
Japanese Americans
Military campaigns
Regimental histories
Europe
United States
1939-1945
Drama
Feature films
War films",,,,,,
The King and I,WWII - 50s,1956,"Adaption; Musical
Teachers -- Thailand -- Drama
Thailand -- Kings and rulers -- Drama
Thailand -- Kings and rulers -- Children -- Drama
Thailand -- Social life and customs -- 19th century -- Drama
Kings and rulers
Kings and rulers -- Children
Manners and customs
Teachers
Thailand
1800-1899
Drama
Film adaptations
Films for the hearing impaired
Musical films
Feature films",Drama,,"1956 Academy Award winner, best actor, best art direction, set direction, best sound recording, best scoring of a motion picture, best costume design.
Academy Award winner, 1956 : best actor (Yul Brynner) ; best art direction (color) ; best costume design (color) ; best music (scoring of a musical picture) ; best sound recording.",English,,
Love is a Many-Splendored Thing,WWII - 50s,1955,"Han, Suyin, 1917-2012 -- Film adaptations
Han, Suyin, 1917-2012
Korean War (1950-1953)
Man-woman relationships -- Drama
Hong Kong (China) -- Drama
Eurasians -- China -- Hong Kong -- Drama
Women physicians -- Drama
Korean War, 1950-1953 -- Journalists -- Drama
Journalists
Man-woman relationships
Women physicians
China -- Hong Kong
1950-1953
Drama
Feature films
Video recordings for the hearing impaired",Drama,,"Academy Award winner, 1955 : best costume design (color) ; best music (music score of a dramatic or comedy picture) ; best music (song, ""Love Is a many-splendored thing"")",,Yes,Eurasian played by Caucasian
Why We Fight,WWII - 50s,,"United States -- Foreign relations -- 20th century
United States -- Foreign relations -- 2001-2009
United States -- History, Military -- 20th century
Military-industrial complex -- United States -- History -- 20th century
Economic conversion -- United States -- History -- 20th century
Iraq War, 2003-2011
United States -- Economic conditions -- 2001-2009
Documentary films
Video recordings for the hearing impaired",-,,,,,
World War II Films: Volume 2,WWII - 50s,,"World War, 1939-1945 -- United States
World War, 1939-1945 -- Motion pictures and the war
Motion pictures in propaganda -- United States
World War, 1939-1945 -- Propaganda
Japanese Americans -- Evacuation and relocation, 1942-1945
World War, 1939-1945 -- Participation, African American
Evacuation and relocation of Japanese Americans (United States : 1942-1945)
World War (1939-1945)
Japanese Americans
African American soldiers
African American universities and colleges
African Americans -- Education
Military participation -- African American
Motion pictures in propaganda
National characteristics, Japanese
Propaganda
Propaganda, American
Stereotypes (Social psychology) in motion pictures
War and motion pictures
United States
1939 - 1945",-,,,,,
Ziegfield Follies,WWII - 50s,1946,"Musical films
Comedy films
Fantasy films
Feature films
Video recordings for the hearing impaired
Ziegfeld, Flo, 1869-1932 -- Drama",Drama,,,,,
Apocalypse Now,60s - 70s,1979,"Coppola, Francis Ford, 1939-
Vietnam War (1961-1975)
Apocalypse now (Motion picture)
Vietnam War, 1961-1975 -- Drama
Vietnam War, 1961-1975 -- Motion pictures and the war
Motion picture industry
Motion picture locations
Motion pictures -- Production and direction
War and motion pictures
1961-1975
Drama
Feature films
War films
Fiction films
Film adaptations
Video recordings for the hearing impaired
Documentary television programs
Radio programs",Drama,,"Academy Award winner, 1979 : best cinematography, best sound.",,,
The Aristocats,60s - 70s,1970,"Butlers -- France -- Paris -- Juvenile films
Inheritance and succession -- France -- Paris -- Juvenile films
Cats -- France -- Paris -- Juvenile films
Feature films
Children's films
Animated films
Video recordings for the hearing impaired","Juvenile films.
",,,,Yes?,The cat
Breakfast at Tiffany's,60s - 70s,1961,"Man-woman relationships -- Drama
New York (N.Y.) -- Drama
Rome (Italy) -- Drama
Feature films
Man-woman relationships
Romantic comedy films
Italy -- Rome
New York (State) -- New York
Drama",Drama,,"Academy Award winner, 1961 : best music (music score of a dramatic or comedy picture) ; best music (song, ""Moon river"")",,Yes,Cult
The Deer Hunter,60s - 70s,1978,"Vietnam War (1961-1975)
Vietnam War, 1961-1975 -- Drama
Iron and steel workers -- Drama
Clairton (Pa.) -- Drama
Iron and steel workers
Pennsylvania -- Clairton
1961-1975
Drama
Feature films
Video recordings for the hearing impaired
War films
Fiction films",Drama,,"Academy Award winner, 1978: best actor in a supporting role (Christopher Walken) ; best directing ; best film editing ; best picture ; best sound.",,,
Dr. No (James Bond debut),60s - 70s,1961,"Fleming, Ian, 1908-1964 -- Film adaptations
Fleming, Ian, 1908-1964
Film adaptations
Spy films
Feature films","Film adaptations.
",,,,,
Flower Drum Song,60s - 70s,1961,"Lee, C. Y., 1915-2018 -- Film adaptations
Rodgers, Richard, 1902-1979 -- Film adaptations
Lee, C. Y., 1915-2018
Rodgers, Richard, 1902-1979
First loves -- Drama
Mail order brides -- Drama
Arranged marriage -- Drama
Women -- Conduct of life -- Drama
Man-woman relationships -- Drama
Brides -- California -- San Francisco -- Drama
Chinese Americans -- California -- San Francisco -- Drama
Women immigrants -- California -- San Francisco -- Drama
Chinatown (San Francisco, Calif.) -- 20th century -- Drama
Arranged marriage
Brides
Chinese Americans
First loves
Mail order brides
Man-woman relationships
Women -- Conduct of life
Women immigrants
California -- San Francisco
California -- San Francisco -- Chinatown
1900-1999
Drama
Musical films
Romantic comedy films
Comedy films
Fiction films
Film adaptations
Feature films
Video recordings for the hearing impaired","Film adaptations.
Drama.",,"Academy Award nominee, 1961.",,,First movie with Asian Romantic Leads; Full of stereotypes
Goldfinger,60s - 70s,1964,"Fleming, Ian, 1908-1964 -- Film adaptations
Bond, James (Fictitious character) -- Drama
Spies -- Drama
Espionage -- Drama
Bond, James (Fictitious character)
Fleming, Ian, 1908-1964
Espionage
Spies
Drama
Video recordings for the hearing impaired
Film adaptations
Spy films
Action and adventure films","
Film adaptations.
Drama.",,,,,"Oddjob was the Korean(?) chauffeur, bodyguard, and chief henchman of the title character, and, with his deadly steel-brimmed bowler hat, perhaps the most parodied Bond villain. 1964"
The Green Berets,60s - 70s,1968,"Vietnam War, 1961-1975 -- Drama
United States Army Special Forces -- Drama
Moore, Robin, 1925-2008 -- Film adaptations
Feature films
War films
Film adaptations
Video recordings for the hearing impaired",Film adaptations.,,,,,The stereotypes range from South Vietnamese subservient or corrupt officials to Viet Cong as vicious but inept soldiers (so therefore should and can be defeated)
The Manchurian Candidate,60s - 70s,1962,"Presidents -- Assassination attempts -- Drama
Brainwashing -- Drama
Assassins -- Drama
Korean War, 1950-1953 -- Veterans -- Drama
Mothers and sons -- Drama
Cold War -- Drama
United States -- Politics and government -- 1953-1961 -- Drama
Thrillers (Motion pictures)
Film adaptations
Feature films
Video recordings for the hearing impaired",Drama.,,"Academy Award nominee, 1962.",,Yes?,"North Koreans are portrayed asbrainwashers, but the only one with a speaking role is played by Italian-American Henry Silva. 1962"
Murder by Death,60s - 70s,1976,"Murder -- Drama
Feature films
Detective and mystery films
Comedy films
Video recordings for the hearing impaired",Drama,,,,Yes?,"A parody of Hollywood's yellowface practice, Peter Sellers portrays an elaborately dressed and pidgin-English-speaking detective inspired by Charlie Chan inspired (complete with a number one son played by a Japanese actor)"
Seven Faces of Dr Lao,60s - 70s,1963,"Circus -- Drama
Chinese -- United States -- Drama
Cities and towns -- Arizona -- Drama
City and town life -- Drama
Chinese
Circus
Cities and towns
City and town life
Arizona
United States
Drama
Fantasy films
Feature films
Fiction films
Video recordings for the hearing impaired",Drama,,"Academy Award nominee, 1964.",,,
Star Wars (The Original Trilogy),60s - 70s,1976-1981,"Skywalker, Luke (Fictitious character) -- Drama
Organa, Leia (Fictitious character) -- Drama
Solo, Han (Fictitious character) -- Drama
Vader, Darth (Fictitious character) -- Drama
Organa, Leia (Fictitious character)
Skywalker, Luke (Fictitious character)
Solo, Han (Fictitious character)
Vader, Darth (Fictitious character)
Yoda (Fictitious character : Lucas) -- Drama
Life on other planets -- Drama
Space warfare -- Drama
Good and evil -- Drama
Good and evil
Life on other planets
Space warfare
Yoda (Fictitious character : Lucas)
Drama
Feature films
Science fiction films
Action and adventure films
Fantasy films
Fiction films
Video recordings for the hearing impaired
Films for people with visual disabilities
Films for the hearing impaired",Drama,,,,,
Tora! Tora! Tora!,60s - 70s,1970,"Pearl Harbor (Hawaii), Attack on, 1941 -- Drama
World War, 1939-1945 -- Campaigns -- Hawaii -- Drama
Feature films
War films
Historical films
Action and adventure films
Video recordings for the hearing impaired",Drama,,"Academy Award winner, 1970 : best special visual effects.",,,Pearl Harbour
You Only Live Twice,60s - 70s,1967,"Fleming, Ian, 1908-1964 -- Film adaptations
Fleming, Ian, 1908-1964
Film adaptations
Spy films
Feature films",Film adaptations,,,,,
Blade Runner,80s,1982,"Los Angeles (Calif.) Police Department -- Drama
Los Angeles (Calif.) Police Department
Police -- California -- Los Angeles -- Drama
Cyborgs -- California -- Los Angeles -- Drama
Androids -- California -- Los Angeles -- Drama
Los Angeles (Calif.) -- Drama
Androids
Cyborgs
Police
California -- Los Angeles
Drama
Dystopian films
Feature films
Fiction films
Film adaptations
Film noir
Science fiction films
Thrillers (Motion pictures)
Video recordings for the hearing impaired",Drama,,"Academy Award nominee, 1982.",,,"film set in futuristic Los Angeles based on a cyberpunk version of Chinatown, the only Asian characters are extras and many of them are wearing conical peasant hats"
Eat a Bowl of Tea,80s,1989,"Chu, Louis, 1915-1970 -- Film adaptations
Chu, Louis, 1915-1970
Chinese Americans -- New York (State) -- New York -- Drama
Chinatown (New York, N.Y.) -- Drama
Chinese Americans
New York (State) -- New York
New York (State) -- New York -- Chinatown
Drama
Fiction films
Feature films
Film adaptations
Comedy films
Video recordings for the hearing impaired","
Film adaptations.
Drama.",,,,,"A romantic story of Chinese-American immigrants living in New York's Chinatown in the late 1940s. Written, directed, and acted by Chinese-American immigrants."
Full Metal Jacket,80s,1989,"Hasford, Gustav -- Film adaptations
Vietnam War, 1961-1975 -- Drama
Tet Offensive, 1968 -- Drama
Military training camps -- United States -- Drama
Hasford, Gustav
Tet Offensive (1968)
Vietnam War (1961-1975)
Military training camps
United States
1961-1975
Drama
War films
Film adaptations
Fiction films
Feature films
Video recordings for the hearing impaired","Film adaptations.
Drama.",,"Academy Award nominee, 1987.",,,
"Good Morning, Vietnam",80s,1987,"Cronauer, Adrian -- Drama
Cronauer, Adrian
Vietnam War (1961-1975)
Disc jockeys -- Vietnam -- Drama
Vietnam War, 1961-1975 -- Drama
Disc jockeys
Vietnam
1961-1975
Feature films
War films
Comedy films
Fiction films
Video recordings for the hearing impaired
Drama","Drama.
",,"Academy Award nominee, 1987.",,,
A Great Wall,80s,1986,"Chinese Americans -- Drama
Chinese Americans -- China -- Drama
Families -- China -- Drama
Table tennis -- China -- Drama
China -- Drama
Chinese Americans
Families
Table tennis
China
Drama
Comedy films
Fiction films
Feature films
Video recordings for the hearing impaired",Drama,,,English + Mandarin,,
Gung Ho,80s,1986,"Culture conflict -- United States -- Drama
Industrial relations -- United States -- Drama
Work ethic -- United States -- Drama
Automobile factories -- United States -- Drama
Vigilantes -- California -- Los Angeles -- Drama
Actors -- California -- Los Angeles -- Drama
Male friendship -- California -- Los Angeles -- Drama
Feature films
Comedy films",Drama / Comedy,,,,,A comedy on the clash of work attitudes between Japanese management and local American auto workers.
The Karate Kid Collection,,,"Teenagers -- California -- Los Angeles -- Conduct of life -- Drama
Karate -- California -- Los Angeles -- Drama
Karate -- Training -- Drama
Vendetta -- Japan -- Okinawa Island -- Drama
Karate
Karate -- Training
Teenagers -- Conduct of life
Vendetta
California -- Los Angeles
Japan -- Okinawa Island
Drama
Feature films
Martial arts films
Video recordings for the hearing impaired",Drama.,,,,,
Tha Karate Kid,80s,1984,"Teenagers -- California -- Los Angeles -- Conduct of life -- Drama
Karate -- California -- Los Angeles -- Drama
Karate -- Training -- Drama
Vendetta -- Japan -- Okinawa Island -- Drama
Karate
Karate -- Training
Teenagers -- Conduct of life
Vendetta
California -- Los Angeles
Japan -- Okinawa Island
Drama
Feature films
Martial arts films
Video recordings for the hearing impaired",Drama / Action,,"Academy Award nominee, 1984.",,,
Tha Karate Kid II,80s,1986,,Drama / Action,,,,,
Tha Karate Kid III,80s,1989,,Drama / Action,,,,,
The Killing Fields,80s,1984,"Dith Pran, 1942-2008 -- Drama
Schanberg, Sydney H (Sydney Hillel), 1934-2016 -- Drama
Schanberg, Sydney H (Sydney Hillel), 1934-2016 -- Film adaptations
Cambodia -- History -- 1975-1979 -- Drama
Dith Pran, 1942-2008
Schanberg, Sydney H (Sydney Hillel), 1934-2016
Cambodia
1975 - 1979
Historical films
Video recordings for the hearing impaired
Drama
Feature films
Films for the hearing impaired
History
War films
Film adaptations
Fiction films","Film adaptations.
Drama.",,"Academy Award winner, 1984 : best actor in a supporing role (Haing S. Ngor) ; best cinematography ; best film editing.",,,"Haing S. Ngor became the first Asian to win Best Supporting Actor for his role in this film. Some have noted that in a film set in Cambodia about Cambodian atrocities, a Cambodian only﻿ ha﻿s a supporting role."
Platoon,80s,1986,"Vietnam War, 1961-1975 -- Drama
United States Army -- Military life -- Drama
Vietnam (Democratic Republic) Quân đội -- Drama
United States Army
Vietnam (Democratic Republic) Quân đội
Vietnam War (1961-1975)
Armed Forces -- Military life
1961-1975
Drama
War films
Historical films
Fiction films
Video recordings for the hearing impaired
Feature films",Drama,,"
Academy Awards, USA, 1987: Oscar - Best Director (Oliver Stone) ; Best Film Editing (Claire Simpson) ; Best Picture (Arnold Kopelson) ; Best Sound (John Wilkinson, Richard D. Rogers, Charles Grenzbach, Simon Kaye).",,,About the only Vietnamese you see in this 1986 film set in Viet Nam are desparately fleeing. Those you can't see are the savage Viet Cong.
Sixteen Candles,80s,1984,"Birthdays -- Drama
High school students -- United States -- Drama
Families -- United States -- Drama
Birthdays
Families
High school students
United States
Drama
Feature films
Comedy films
Fiction films
Video recordings for the hearing impaired",Drama,,,,,"Long Duk Dong, or Donger, an Asian exchange student, played for comic relief, has been called the worst depiction of an Asian character by an Asian actor."
The Year of Living Dangerously,80s,1982,"Indonesia -- History -- Coup d'état, 1965 -- Drama
Journalists -- Indonesia -- Drama
Feature films
War films
Video recordings for the hearing impaired",Drama,,"Academy Award winner, 1983 : best actress in a supporting role (Linda Hunt)",,Yes,"Linda Hunt, a white American woman won an Oscar for her role as a male Chinese-Australian photographer. 1982"
Anna and the King,90s,1999,"Leonowens, Anna Harriette, 1831-1915 -- Film adaptations
Leonowens, Anna Harriette, 1831-1915 -- Drama
Mongkut, King of Siam, 1804-1868 -- Drama
Leonowens, Anna Harriette, 1831-1915
Mongkut, King of Siam, 1804-1868
Thailand -- Social life and customs -- Drama
Thailand -- Social life and customs -- 19th century -- Drama
Man-woman relationships -- Drama
Man-woman relationships
Manners and customs
Thailand
1800-1899
1800 - 1899
Feature films
Video recordings for the hearing impaired
Drama
Film adaptations","Film adaptations.
Drama.",,"Academy Award nominee, 1999.",,,"By 1999 an Asian actor is able to portray the King of Siam. However, Chow Yun-fat is Chinese (born in Hong Kong), not Thai."
Beyond Rangoon,90s,1995,"Widows -- Drama
Americans -- Burma -- Drama
Burma -- Politics and government -- 1988- -- Drama
Feature films
Political films
Action and adventure films
Video recordings for the hearing impaired",Drama.,,,,,"A thriller set during the 1988 uprising in Burma focuses on an American tourist, but the main male lead is Burmese. A memorable scene does depict Aung San Suu Kyi (played by a Japanese American) defying soldiers and rallying demonstrators"
Dead or Alive = Hanzaisha,90s,1999,,,,,,,
Dead or Alive 2: Tōbōsha = Dead or alive 2 : Birds,,2003,"Yakuza -- Drama
Assassins -- Japan -- Drama
Gangster films -- Japan
Assassins
Gangster films
Yakuza
Japan
Drama
Feature films
Action and adventure films",Drama.,,,,,
Double Happiness,90s,1994,"Families -- Canada -- Drama
Parent and adult child -- Canada -- Drama
Daughters -- Canada -- Drama
Interracial marriage -- Drama
Canada -- Drama
Feature films
Comedy films
Video recordings for the hearing impaired",Drama,,,,,Interacial
Dragon: the Bruce Lee Story,90s,1998,"Lee, Bruce, 1940-1973 -- Drama
Martial arts -- Drama
Martial artists -- Drama
Actors -- Drama
Fiction films
Feature films
Martial arts films
Biographical films
Film adaptations
Video recordings for the hearing impaired",Drama.,,,,,
Ear Drink Man Woman,90s,1994,"Chinese Language Films
Father and child -- Drama
Male cooks -- Drama
Adult children -- Drama
Fathers and daughters -- Drama
Man-woman relationships -- Drama
Conflict of generations -- Drama
Taiwan -- Drama
Adult children
Conflict of generations
Father and child
Fathers and daughters
Male cooks
Man-woman relationships
Taiwan
Nan nü guan xi Xi ju
Comedy films
Drama
Feature films
Fiction films
Romance films
Romantic comedy films
Video recordings for the hearing impaired",Drama.,,,,,
Falling Down,90s,1992,"Men, White -- Psychology -- Drama
Divorced men -- Psychology -- Drama
Violence in men -- Drama
Family violence -- Drama
Murderers -- Drama
Violence -- United States -- Drama
City and town life -- United States -- Drama
Los Angeles (Calif.) -- Drama
City and town life
Divorced men -- Psychology
Family violence
Murderers
Violence
Violence in men
California -- Los Angeles
United States
Drama
Fiction films
Thrillers (Motion pictures)
Video recordings
Feature films
Detective and mystery films
Video recordings for the hearing impaired",Drama,,,,,This story of a troubled man on violent crime spree across Los Angeles gets started wth a confrontation with a Korean grocer. The Korean Grocers Association protested the film for its treatment of minorities. 1992.
Fargo,90s,1996,"Kidnapping -- Minnesota -- Drama
Murder -- Minnesota -- Drama
Police chiefs -- Minnesota -- Drama
Policewomen -- Minnesota -- Drama
Kidnapping
Murder
Police chiefs
Policewomen
Minnesota
Detective and mystery films
Drama
Thrillers (Motion pictures)
Feature films
Fiction films
Video recordings for the hearing impaired",Drama,,"Academy Award winner, 1996 : best actress in a leading role (Francis McDormand) ; best writing (screenplay written directly for the screen).",,,Includes a small role for a deceitful effeminate Asian man who speaks poor English. 1996
The Funeral,90s,1999,"Funeral rites and ceremonies -- Japan -- Drama
Buddhism -- Japan -- Drama
Buddhism
Funeral rites and ceremonies
Japan
Comedy films
Drama
Feature films
Fiction films
葬式",Drama.,,,,,
The Joy Luck Club,90s,1993,"Mothers and daughters -- United States -- Drama
Chinese Americans -- Drama
Chinese American women -- Drama
Chinese American women
Chinese Americans
Mothers and daughters
United States
Drama
Feature films
Fiction films
Video recordings for the hearing impaired",Drama.,,,,,The 1993 film has been praised for presenting images of Asian-Americans outside the norm for Hollywood.
Kip Fulbeck Collection Vol. 1,90s,,"Experimental films
Short films",,,,,,
The Lover,90s,1992,"Teenage girls -- Indochina -- Drama
Man-woman relationships -- Indochina -- Drama
Indochina -- Drama
Man-woman relationships
Teenage girls
Indochina
Drama
Feature films
Films for the hearing impaired",Drama.,,,,,Some stereotypes are reversed in this 1992 erotic tale set in 1929 Vietnam of a young French girl and a wealthy Chinese entrepreneur.
M Butterfly,90s,1993,"Diplomats -- France -- Drama
Singers -- China -- Drama
Espionage, Chinese -- Drama
Sex in espionage -- Drama
Feature films
Film adaptations
Video recordings for the hearing impaired",Drama,,,,,Themes of this story of a French civil service officer's obsessive pursuit of a (male) enigmatic Chinese opera diva include gender and Orientalist stereotypes. 1993.
Madame Butterfly,90s,1995,"Puccini, Giacomo, 1858-1924 Madama Butterfly -- Film adaptations
United States Navy -- Officers -- Drama
United States Navy
Madama Butterfly (Puccini, Giacomo)
Man-woman relationships -- Drama
Interracial marriage -- Japan -- Drama
Geishas -- Drama
Armed Forces -- Officers
Geishas
Interracial marriage
Man-woman relationships
Japan
Drama
Fiction films
Film adaptations
Opera films
Operas
Feature films
Music videos","
Film adaptations.
Drama.",,,Italian,,"In this production of Puccini's opera, Shanghai-born Ying Huang sings the title role. This 1995 production is the only one of five in the Ithaca College Library video collection in which an Asian soprano sings the lead role."
Menace II Society,90s,1993,"African Americans -- Drama
African American teenagers -- Drama
Inner cities -- Drama
Watts (Los Angeles, Calif.) -- Drama
African American teenagers
African Americans
Inner cities
California -- Los Angeles -- Watts
Drama
Gangster films
Feature films",Drama,,"MTV Award, 1994: Best movie",,,There's yet another stereotypical Korean storekeeper. 1993.
Payback,90s,1999,"Stark, Richard -- Film and video adaptations
Criminals -- Drama
Revenge -- Drama
Criminals
Revenge
Drama
Film adaptations
Video recordings for the hearing impaired
DVDs
Thrillers (Motion pictures)
Feature films
Films for the hearing impaired","
Film and video adaptations.
Drama.",,,,,"Amid the revenge and violence, we get Lucy Liu as a masochistic prostitute. 1999"
Picture Bride ,90s,1995,"Man-woman relationships -- Drama
Japanese Americans -- Drama
Arranged marriage -- Drama
Hawaii -- Drama
Arranged marriage
Japanese Americans
Man-woman relationships
Hawaii
Drama
Feature films
Fiction films
Video recordings for the hearing impaired",Drama,,Winner of the Audience Award at the Sundance Film Festival.,English Japanese,,A mail-order bride tale. In 1900 a Japanese woman leaves behind her unhappy past to go to Hawaii to discover pictures can be deceiving. 1995.
The Red Violin,90s,1998,"Violin -- Drama
Appraisers -- Drama
Appraisers
Violin
Films for the hearing impaired
Drama
Feature films
Anthology films
Video recordings for the hearing impaired",Drama,,"Academy Award winner, 1999 : best music (original score).",,,"The Shanghai chapter involves clashes during the Cultural Revolution over ""decadent"" Western ideas including classical music. 1998."
Rising Sun,90s,1999,"Corporations, Japanese -- California -- Los Angeles -- Drama
Corporate culture -- Japan -- Drama
Corporate culture -- California -- Los Angeles -- Drama
Business intelligence -- California -- Los Angeles -- Drama
Murder -- California -- Los Angeles -- Drama
Legislators -- California -- Los Angeles -- Drama
Business intelligence
Corporate culture
Corporations, Japanese
Legislators
Murder
California -- Los Angeles
Japan
Drama
Feature films
Video recordings for the hearing impaired",Drama,,,,,In which a Japanese business executive is vilified. 1999.
Shanghai Noon,90s,1999,"Princesses -- Drama
Kidnapping -- Drama
Cowboys -- Drama
Outlaws -- Drama
West (U.S.) -- Drama
China -- Kings and rulers -- Drama
Cowboys
Kidnapping
Kings and rulers
Outlaws
Princesses
China
West United States
Western films
Comedy films
Drama
Feature films
Action and adventure films
Video recordings for the hearing impaired",Drama,,,,,"In this martial arts comedy hit, East meets West in the Old West, and stereotypes are unbound. 1999."
Snow Falling on Cedars,90s,1999,"Japanese Americans -- Washington (State) -- Drama
Trials (Murder) -- Washington (State) -- Drama
Journalists -- Washington (State) -- Drama
Japanese Americans
Journalists
Trials (Murder)
Washington (State)
Drama
Fiction films
Film adaptations
Feature films
Films for the hearing impaired",Drama,,"Academy Award nominee, 1999.",,,An interracial love story that spans the years before and after World War II set in the Pacific Northwest. The film has been both praised and criticized for the portrayals of Japanese-Americans. 1999.
Tomorrow Never Dies,90s,1997,"Fleming, Ian, 1908-1964 -- Film adaptations
Fleming, Ian, 1908-1964
Film adaptations
Spy films
Feature films",Film adaptations.,,,,,Bond girl
Wedding Banquet,90s,1993,"Taiwanese -- United States -- Drama
Gay men -- Drama
Intercountry marriage -- Drama
Chinese -- United States -- Drama
Families -- Drama
Weddings -- Drama
Dinners and dining -- Drama
Manhattan (New York, N.Y.) -- Drama
Chinese
Dinners and dining
Families
Foreign films
Gay men
Intercountry marriage
Taiwanese
Weddings
New York (State) -- New York -- Manhattan
Taiwan
United States
Drama
Romantic comedy films
Romance films
Comedy films
Fiction films
Feature films
Video recordings for the hearing impaired",Drama,,,,,
Star Wars: Phantom Menace,90s,1999,,,,,,,
Æon Flux,00s,,"Female assassins -- Drama
Utopian socialism -- Drama
Disappeared persons -- Drama
Assassins -- Drama
Assassins
Disappeared persons
Female assassins
Utopian socialism
Drama
Video recordings for the hearing impaired",Drama.,,,,,
Babel,00s,2007,"Firearms accidents -- Drama
Accidents -- Drama
Miscommunication -- Drama
Accidents
Firearms accidents
Miscommunication
Drama
Feature films
Fiction films
Video recordings for the hearing impaired",Drama,,"Cannes Film Festival for Best Director, 2006, Alejandro González Iñárritu ; Prize of the Ecumenical Jury (Alejandro González Iñárritu) ; Technical Grand Prize (Stephen Mirrione).
Academy Award winner, 2006 : best music (original score).",,,"One of the multiple stories told in the film is that of a rebellious, traumatized, and deaf Japanese teenage girl, not a typical Asian character you see in a Hollywood film."
Baby,00s,2005,Gang / Hood (?),Action,," won Best Narrative Feature at the 2007 Los Angeles Asian Pacific Film Festival and a Special Jury Award for ""Outstanding Newcomer"" for star David Huynh at the same film festival that year,[2] and a Best Director award for Director Juwan Chung at the 2008 DisOrient Film Festival",,,
